P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,SMILES,PICS
1,0,0,0,0,1,2,0,0,42,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,1,2,0,0,50,4,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,22,1,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,27,2,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,32,2,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,37,3,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,42,3,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,47,4,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,0,0,0,0,0,2,0,0,76,6,3,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,4,1,0,0,0,1,0,0,19,1,4,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,4,1,0,0,0,0,0,1,12,0,4,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,4,1,0,0,0,0,0,1,23,1,4,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,4,1,0,0,1,0,0,0,10,0,4,0,0,0,0,0,0,0,0,1,0,0,0,,NULL
1,4,0,0,0,0,0,0,1,16,1,4,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,3,1,0,0,0,0,0,1,19,1,4,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,1,22,1,4,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,1,0,0,0,2,0,0,0,22,1,4,0,0,0,0,0,0,0,0,1,0,0,0,,NULL
1,0,0,0,0,2,1,0,0,31,2,4,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,1,1,0,0,40,3,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
0,0,0,2,0,1,0,0,1,25,2,3,0,1,0,0,0,0,0,1,0,0,0,0,,NULL
1,2,0,0,0,1,0,0,0,26,2,4,0,0,0,0,0,0,0,0,1,0,0,0,,NULL
1,3,0,0,0,1,0,0,0,29,2,4,0,0,0,0,0,0,0,0,1,0,0,0,,NULL
1,3,0,0,0,0,0,0,1,28,2,4,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,1,0,0,0,1,0,0,0,36,3,3,0,0,0,0,0,0,0,0,1,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,15,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,28,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,38,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,1,0,0,0,2,0,0,47,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,10,0,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,16,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,22,1,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,32,2,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
1,3,0,0,0,0,2,0,0,41,3,4,-2,0,2,0,0,0,0,0,0,0,0,0,,NULL
